"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 28 10:03:32 GMT 2023","Mon Aug 28 10:03:33 GMT 2023","419","tests.payments.payment_accounts.owner.field_commission","Test put owners","TestPaymentPutOwner","","","Test payment accounts owner update valid value param commission","Проверка успешного ответа [200] при изменении commission владельца валидными значениями"
"passed","Mon Aug 28 10:04:07 GMT 2023","Mon Aug 28 10:04:07 GMT 2023","382","tests.payments.payment_accounts.owner.field_payout_day_of_month","Test put owners regression","TestPaymentPutOwnerRegression","","","Test payment accounts owner update invalid value param payout_day_of_month","Проверка ответа [400] при изменении payout_day_of_month невалидными значениями"
"passed","Mon Aug 28 10:03:47 GMT 2023","Mon Aug 28 10:03:47 GMT 2023","423","tests.payments.payment_accounts.owner.field_frozen_time","Test put owners regression","TestPaymentPutOwnerRegression","","","Test payment accounts owner update invalid value param frozen_time","Проверка ответа [400] при изменении frozen_time владельца невалидными значениями"
"passed","Mon Aug 28 10:03:53 GMT 2023","Mon Aug 28 10:03:54 GMT 2023","460","tests.payments.payment_accounts.owner.field_gift_time","Test put owners","TestPaymentPutOwner","","","Test payment accounts owner update valid value param gift_time","Проверка успешного ответа [200] при изменении gift_time владельца валидными значениями"
"skipped","Mon Aug 28 10:02:32 GMT 2023","Mon Aug 28 10:02:33 GMT 2023","1618","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG85-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Mon Aug 28 10:03:29 GMT 2023","Mon Aug 28 10:03:29 GMT 2023","421","tests.payments.payment_accounts.owner.field_commission","Test patch owners regression","TestPaymentPatchOwnerRegression","","","Test payment accounts owner partial update invalid value param commission","Проверка ответа [400] при частичном обновлении commission невалидными значениями"
"passed","Mon Aug 28 10:03:30 GMT 2023","Mon Aug 28 10:03:31 GMT 2023","460","tests.payments.payment_accounts.owner.field_commission","Test patch owners regression","TestPaymentPatchOwnerRegression","","","Test payment accounts owner partial update invalid value param commission","Проверка ответа [400] при частичном обновлении commission невалидными значениями"
"passed","Mon Aug 28 10:03:21 GMT 2023","Mon Aug 28 10:03:22 GMT 2023","402","tests.payments.payment_accounts","Tests post balance","TestBalancesPostList","","","Check balance data of user with invalid uuid","Проверка ответа [400] при получении информации о балансе у юзера с невалидным <module 'uuid' from '/usr/local/lib/python3.11/uuid.py'>"
"passed","Mon Aug 28 10:03:22 GMT 2023","Mon Aug 28 10:03:23 GMT 2023","446","tests.payments.payment_accounts","Tests get balance by uuid","TestPaymentsBalancesGet","","","Check balance data of the user","Проверка успешного ответа [200] при проверке баланса у существующего пользователя"
"passed","Mon Aug 28 10:04:10 GMT 2023","Mon Aug 28 10:04:10 GMT 2023","443","tests.payments.payment_accounts.payout","Tests put payout data","TestPaymentsPayoutDataPut","","","Update payout data field payout_type use valid value","Проверка успешного ответа [200] при изменение данных о выплатах поля payout_type используя валидные значения"
